date,instance,makespan,cfg.ccr,total_iterTimes,optimal_iterTimes,randomSeed,total_time,optimal_time
22/05/02 10:09:59,ogra50_90_2,601,0,7878,675,1234,10.0039,0.871521
22/05/02 10:10:49,ogra50_90_2,600,1,42109,2335,1234,10.0047,0.542982
22/05/02 10:12:58,ogra50_90_4,1200,1,64782,7210,1234,10.0058,1.07814
22/05/02 10:14:22,ogra50_90_6,1800,1,69195,9534,1234,10.0773,1.3148
22/05/02 10:15:32,ogra50_90_4,600,1,45639,1536,1234,10.0046,0.378765
22/05/02 10:15:56,ogra100_90_2,809,1,5666,3985,1234,10.0068,7.03613
22/05/02 10:17:03,ogra100_90_2,805,1,34791,27817,1234,60.0093,47.9363
22/05/02 10:18:08,ogra100_90_2,800,1,11001,756,1234,10.0063,0.663463
22/05/02 10:18:34,ogra150_90_2,1000,1,4480,2249,1234,10.1223,4.98358
22/05/02 10:19:05,ogra200_90_2,1213,1,2538,953,1234,10.0093,3.70164
22/05/02 10:20:14,ogra200_90_2,1204,1,15903,5425,1234,60.3032,20.6583
22/05/02 10:24:41,ogra200_90_2,1204,1,62675,5425,1234,240.009,20.7022
22/05/02 10:56:04,ogra200_90_2,1201,1,61834,21615,100,240.31,86.8329
22/05/02 12:53:51,ogra200_70_4,1217,1,19661,18210,100,60.3105,51.4407
22/05/02 14:45:50,ogra200_90_2,1204,1,61232,1283,1234,240.315,4.94874
22/05/02 15:08:06,ogra200_90_2,1204,1,64469,49593,1234,240.327,183.2
22/05/02 15:45:01,ogra200_90_2,1202,1,59077,12827,1,240.304,53.4745
22/05/02 16:06:07,ogra200_90_2,1206,1,59821,17919,1,240.304,74.9933
22/05/02 16:38:57,ogra200_50_2,1209,1,133561,9100,1,240.303,17.2191
22/05/02 17:04:39,ogra200_90_2,1201,1,62215,29945,1,240.31,115.462
22/05/02 17:12:00,ogra200_90_2,1206,1,58647,49431,100,240.012,202.398
22/05/02 17:16:16,ogra200_90_2,1206,1,60980,56778,100,240.314,223.426
22/05/02 17:33:20,ogra200_90_2,1204,1,62350,1407,23123,240.014,6.12149
22/05/02 17:39:18,ogra200_90_2,1201,1,62991,55100,23123,240.309,210.068
22/05/02 17:44:41,ogra200_90_2,1204,1,64147,1407,23123,240.305,5.3524
22/05/02 18:19:07,ogra200_90_2,1202,1,463984,438510,100,1800.31,1700.6
22/05/02 19:04:11,ogra500_90_2,2400,1,23343,14384,100,600.351,365.191
